# US ZIP (ZCTA) -> county, largest-area match — US Census 2020 ZCTA-county relationship file, public domain.
# zip,county,state_fips
02638,Barnstable County,25
02639,Barnstable County,25
02641,Barnstable County,25
02642,Barnstable County,25
02643,Barnstable County,25
02644,Barnstable County,25
02645,Barnstable County,25
02646,Barnstable County,25
02647,Barnstable County,25
02648,Barnstable County,25
02649,Barnstable County,25
02650,Barnstable County,25
02652,Barnstable County,25
02653,Barnstable County,25
02655,Barnstable County,25
02657,Barnstable County,25
02659,Barnstable County,25
02660,Barnstable County,25
02663,Barnstable County,25
02664,Barnstable County,25
02666,Barnstable County,25
02667,Barnstable County,25
02668,Barnstable County,25
02670,Barnstable County,25
02671,Barnstable County,25
02672,Barnstable County,25
02673,Barnstable County,25
02675,Barnstable County,25
02702,Bristol County,25
02703,Bristol County,25
02713,Dukes County,25
02715,Bristol County,25
02717,Bristol County,25
02718,Bristol County,25
02719,Bristol County,25
02720,Bristol County,25
02721,Bristol County,25
02723,Bristol County,25
02724,Bristol County,25
02725,Bristol County,25
02726,Bristol County,25
02738,Plymouth County,25
02739,Plymouth County,25
02740,Bristol County,25
02743,Bristol County,25
02744,Bristol County,25
02745,Bristol County,25
02746,Bristol County,25
02747,Bristol County,25
02748,Bristol County,25
02760,Bristol County,25
02762,Norfolk County,25
02763,Bristol County,25
02764,Bristol County,25
02766,Bristol County,25
02767,Bristol County,25
02769,Bristol County,25
02770,Plymouth County,25
02771,Bristol County,25
02777,Bristol County,25
02779,Bristol County,25
02780,Bristol County,25
02790,Bristol County,25
02791,Bristol County,25
02802,Providence County,44
02804,Washington County,44
02806,Bristol County,44
02807,Washington County,44
02808,Washington County,44
02809,Bristol County,44
02812,Washington County,44
02813,Washington County,44
02814,Providence County,44
02815,Providence County,44
02816,Kent County,44
02817,Kent County,44
02818,Kent County,44
02822,Washington County,44
02823,Providence County,44
02824,Providence County,44
02825,Providence County,44
02826,Providence County,44
02827,Kent County,44
02828,Providence County,44
02829,Providence County,44
02830,Providence County,44
02831,Providence County,44
02832,Washington County,44
02833,Washington County,44
02835,Newport County,44
02836,Washington County,44
02837,Newport County,44
02838,Providence County,44
02839,Providence County,44
02840,Newport County,44
02841,Newport County,44
02842,Newport County,44
02852,Washington County,44
02857,Providence County,44
02858,Providence County,44
02859,Providence County,44
02860,Providence County,44
02861,Providence County,44
02863,Providence County,44
02864,Providence County,44
02865,Providence County,44
02871,Newport County,44
02872,Newport County,44
02873,Washington County,44
02874,Washington County,44
02875,Washington County,44
02876,Providence County,44
02878,Newport County,44
02879,Washington County,44
02881,Washington County,44
02882,Washington County,44
02885,Bristol County,44
02886,Kent County,44
02888,Kent County,44
02889,Kent County,44
02891,Washington County,44
02892,Washington County,44
02893,Kent County,44
02894,Washington County,44
02895,Providence County,44
02896,Providence County,44
02898,Washington County,44
02903,Providence County,44
02904,Providence County,44
02905,Providence County,44
02906,Providence County,44
02907,Providence County,44
02908,Providence County,44
02909,Providence County,44
02910,Providence County,44
02911,Providence County,44
02912,Providence County,44
02914,Providence County,44
02915,Providence County,44
02916,Providence County,44
02917,Providence County,44
02918,Providence County,44
02919,Providence County,44
02920,Providence County,44
02921,Providence County,44
03031,Hillsborough County,33
03032,Rockingham County,33
03033,Hillsborough County,33
03034,Rockingham County,33
03036,Rockingham County,33
03037,Rockingham County,33
03038,Rockingham County,33
03042,Rockingham County,33
03043,Hillsborough County,33
03044,Rockingham County,33
03045,Hillsborough County,33
03046,Merrimack County,33
03047,Hillsborough County,33
03048,Hillsborough County,33
03049,Hillsborough County,33
03051,Hillsborough County,33
03052,Hillsborough County,33
03053,Rockingham County,33
03054,Hillsborough County,33
03055,Hillsborough County,33
03057,Hillsborough County,33
03060,Hillsborough County,33
03062,Hillsborough County,33
03063,Hillsborough County,33
03064,Hillsborough County,33
03070,Hillsborough County,33
03071,Hillsborough County,33
03076,Hillsborough County,33
03077,Rockingham County,33
03079,Rockingham County,33
03082,Hillsborough County,33
03084,Hillsborough County,33
03086,Hillsborough County,33
03087,Rockingham County,33
03101,Hillsborough County,33
03102,Hillsborough County,33
03103,Hillsborough County,33
03104,Hillsborough County,33
03106,Merrimack County,33
03109,Hillsborough County,33
03110,Hillsborough County,33
03215,Grafton County,33
03216,Merrimack County,33
03217,Grafton County,33
03218,Belknap County,33
03220,Belknap County,33
03221,Merrimack County,33
03222,Grafton County,33
03223,Grafton County,33
03224,Merrimack County,33
03225,Belknap County,33
03226,Belknap County,33
03227,Carroll County,33
03229,Merrimack County,33
03230,Merrimack County,33
03231,Merrimack County,33
03233,Merrimack County,33
03234,Merrimack County,33
03235,Merrimack County,33
03237,Belknap County,33
03238,Grafton County,33
03240,Grafton County,33
03241,Grafton County,33
03242,Merrimack County,33
03243,Merrimack County,33
03244,Hillsborough County,33
03245,Grafton County,33
03246,Belknap County,33
03249,Belknap County,33
03251,Grafton County,33
03253,Belknap County,33
03254,Carroll County,33
03255,Merrimack County,33
03256,Belknap County,33
03257,Merrimack County,33
03258,Merrimack County,33
03259,Carroll County,33
